no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
91,31,บุรีรัมย์,ประโคนชัย,02973,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกมะขาม ตำบลโคกมะขาม,879,27,27,,,,,,,,,,,,,,,,,,,
92,31,บุรีรัมย์,ประโคนชัย,02965,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกย่าง ตำบลโคกย่าง,932,274,264,,10,,,,,,,,,,,,,,,,,
93,31,บุรีรัมย์,ประโคนชัย,02974,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกรัง ตำบลโคกตูม,1121,703,680,,23,,,,,,,,,,,,,,,,,
94,31,บุรีรัมย์,ประโคนชัย,02964,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสะอาด ปังกู,1789,13,12,,1,,,,,,,,,,,,,,,,,
95,31,บุรีรัมย์,ประโคนชัย,02975,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสัมพันธ์ ตำบลปะทัดบุ,762,0,,,,,,,,,,,,,,,,,,,,
96,31,บุรีรัมย์,ประโคนชัย,02963,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกเมือง ตำบลจรเข้มาก,1159,475,458,,17,,,,,,,,,,,,,,,,,
97,31,บุรีรัมย์,ประโคนชัย,02960,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไทร ตำบลบ้านไทร,1788,637,564,,73,,,,,,,,,,,,,,,,,
98,31,บุรีรัมย์,ประโคนชัย,02971,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนสว่าง ตำบลเขาคอก,1289,182,177,,5,,,,,,,,,,,,,,,,,
99,31,บุรีรัมย์,ปะคำ,03028,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปลื้มใต้ ตำบลโคกมะม่วง,700,40,37,,3,3,0,0,0,3,,,,,,,,,,,,
100,31,บุรีรัมย์,ปะคำ,03027,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองน้ำขุ่น ตำบลหนองบัว,1264,500,494,,6,6,0,0,0,6,,,,,,,,,,,,
101,31,บุรีรัมย์,ปะคำ,03030,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหูทำนบ ตำบลหูทำนบ,1124,102,96,,6,6,0,0,0,6,,,,,,,,,,,,
102,31,บุรีรัมย์,ปะคำ,03029,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเทพพัฒนา ตำบลโคกมะม่วง,1519,149,142,,7,7,0,0,0,7,,,,,,,,,,,,
103,31,บุรีรัมย์,ปะคำ,03026,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกลอย ตำบลไทยเจริญ,530,424,411,,13,13,13,13,0,0,,,,,,,,,,,,
104,31,บุรีรัมย์,ปะคำ,03031,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกไม้แดง ตำบลหูทำนบ,807,400,394,,6,6,0,6,0,6,0,,,,,,,,,,,
105,31,บุรีรัมย์,ปะคำ,03025,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไทยเจริญ ตำบลไทยเจริญ,830,51,51,,0,0,0,0,0,0,,,,,,,,,,,,
106,31,บุรีรัมย์,พลับพลาชัย,03044,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจันดุม ตำบลจันดุม,1563,29,29,,0,0,0,0,0,0,0,,,,,,,,,,,
107,31,บุรีรัมย์,พลับพลาชัย,03047,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตาพระ ตำบลโคกขมิ้น,775,256,242,,14,14,14,14,0,0,0,,,,,,,,,,,
108,31,บุรีรัมย์,พลับพลาชัย,03048,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่าชัน ตำบลป่าชัน,935,133,129,,4,4,4,4,0,0,0,,,,,,,,,,,
109,31,บุรีรัมย์,พลับพลาชัย,03049,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสำโรง ตำบลสำโรง,1409,10,10,,0,0,0,0,0,0,0,,,,,,,,,,,
110,31,บุรีรัมย์,พลับพลาชัย,03046,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกขมิ้น ตำบลโคกขมิ้น,713,28,28,,0,0,0,0,0,0,0,,,,,,,,,,,
111,31,บุรีรัมย์,พลับพลาชัย,03045,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกเจริญ ตำบลจันดุม,496,3,3,,0,0,0,0,0,0,0,,,,,,,,,,,
112,31,บุรีรัมย์,พุทไธสง,99941,2569,ศูนย์สุขภาพชุมชนโรงพยาบาลพุทไธสง,2062,,,,32,32,0,0,,32,0,,,,,,,,,,,
113,31,บุรีรัมย์,พุทไธสง,02987,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองม่วง ตำบลบ้านจาน,1369,20,20,,,,,,,,,,,,,,,,,,,
