no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
114,36,ชัยภูมิ,เกษตรสมบูรณ์,03969,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเป้า,1953,849,812,72,,,,,,,,,,,,,,,,,,
115,36,ชัยภูมิ,เกษตรสมบูรณ์,03973,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระโพนทอง,733,0,,2,,,,,,,,,,,,,,,,,,
116,36,ชัยภูมิ,เกษตรสมบูรณ์,03974,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลส้มกบ,908,26,25,2,1,,,,,,,,,,,,,,,,,
117,36,ชัยภูมิ,เกษตรสมบูรณ์,03975,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองข่า,834,3,3,17,,,,,,,,,,,,,,,,,,
118,36,ชัยภูมิ,เกษตรสมบูรณ์,03968,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัวน้อย,1017,586,563,30,,,,,,,,,,,,,,,,,,
119,36,ชัยภูมิ,เกษตรสมบูรณ์,13888,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแดง,576,105,105,2,,,,,,,,,,,,,,,,,,
120,36,ชัยภูมิ,เกษตรสมบูรณ์,03981,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลแก้งตาดไช,535,0,,,,,,,,,,,,,,,,,,,,
121,36,ชัยภูมิ,เกษตรสมบูรณ์,03972,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนกอก,1877,103,91,89,,,,,,,,,,,,,,,,,,
122,36,ชัยภูมิ,เกษตรสมบูรณ์,03980,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนเขวา,898,10,10,12,,,,,,,,,,,,,,,,,,
123,36,ชัยภูมิ,เทพสถิต,04027,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลช่องสำราญ,320,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
124,36,ชัยภูมิ,เทพสถิต,04036,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลซับมงคล,786,11,11,1,0,0,0,0,0,0,0,,,,,,,,,,,
125,36,ชัยภูมิ,เทพสถิต,04030,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนายางกลัก,1028,3,3,0,0,0,0,0,0,0,0,,,,,,,,,,,
126,36,ชัยภูมิ,เทพสถิต,04034,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังใหม่พัฒนา,1012,296,294,3,2,2,0,2,0,2,0,,,,,,,,,,,
127,36,ชัยภูมิ,เทพสถิต,04028,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยยายจิ๋ว,1220,27,27,4,0,0,0,0,0,0,0,,,,,,,,,,,
128,36,ชัยภูมิ,เทพสถิต,04035,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโป่งนก,888,0,,0,,,,,,,,,,,,,,,,,,
129,36,ชัยภูมิ,เทพสถิต,04032,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไร่,721,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
130,36,ชัยภูมิ,เทพสถิต,04031,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยหินฝน,590,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
131,36,ชัยภูมิ,เทพสถิต,04029,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกรัง,837,653,650,3,3,3,0,3,0,3,0,,,,,,,,,,,
132,36,ชัยภูมิ,เทพสถิต,04033,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนสำราญ,546,208,207,1,1,1,0,1,0,1,0,,,,,,,,,,,
133,36,ชัยภูมิ,เนินสง่า,04092,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกะฮาด,637,466,436,30,30,30,0,30,0,30,0,,,,,,,,,,,
134,36,ชัยภูมิ,เนินสง่า,04091,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลขี้เหล็ก,560,76,74,2,2,2,0,2,0,2,0,,,,,,,,,,,
135,36,ชัยภูมิ,เนินสง่า,04090,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตาเนิน,807,543,516,27,27,27,0,27,0,27,0,,,,,,,,,,,
136,36,ชัยภูมิ,เนินสง่า,04093,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลรังงาม,873,0,,66,,,,,,,,,,,,,,,,,,
137,36,ชัยภูมิ,เนินสง่า,04088,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองฉิม,1304,829,806,25,25,25,5,25,0,25,0,,,,,,,,,,,
